User_ID,Movie_ID,Rating_Value,Rating_Date
1,1,4.5,2024-06-01
1,3,4.2,2024-06-02
2,2,5,2024-06-03
2,5,4.6,2024-06-04
3,4,4,2024-06-05
3,6,4.3,2024-06-06
4,2,4.8,2024-06-07
4,8,4.9,2024-06-08
5,1,3.9,2024-06-09
5,7,4.7,2024-06-10
6,9,4.2,2024-06-11
6,10,4.5,2024-06-12
7,5,4.6,2024-06-13
7,12,4.3,2024-06-14
8,11,3.8,2024-06-15
8,14,4.1,2024-06-16
9,13,4.7,2024-06-17
9,15,4.9,2024-06-18
10,3,3.6,2024-06-19
10,17,4.4,2024-06-20
11,16,4.8,2024-06-21
11,19,4.9,2024-06-22
12,18,4.5,2024-06-23
12,20,4.7,2024-06-24
13,7,4.2,2024-06-25
13,10,4.4,2024-06-26
14,9,4.1,2024-06-27
14,12,4.3,2024-06-28
15,1,3.8,2024-06-29
15,5,4.5,2024-06-30
16,6,4.7,2024-07-01
16,8,4.4,2024-07-02
17,2,4,2024-07-03
17,3,4.1,2024-07-04
18,4,4.6,2024-07-05
18,7,4.2,2024-07-06
19,9,4.8,2024-07-07
19,11,4.5,2024-07-08
20,12,4.7,2024-07-09
20,14,4.3,2024-07-10
21,13,4,2024-07-11
21,15,4.4,2024-07-12
22,16,4.6,2024-07-13
22,18,4.9,2024-07-14
23,17,4.1,2024-07-15
23,19,4.5,2024-07-16
24,20,4.7,2024-07-17
24,1,4.2,2024-07-18
25,2,3.9,2024-07-19
25,3,4.4,2024-07-20
26,4,4.3,2024-07-21
26,5,4.1,2024-07-22
27,6,4.5,2024-07-23
27,7,4.2,2024-07-24
28,8,4.7,2024-07-25
28,9,4.4,2024-07-26
29,10,3.9,2024-07-27
29,11,4.1,2024-07-28
30,12,4.6,2024-07-29
30,13,4.3,2024-07-30
31,14,4.2,2024-07-31
31,15,4.5,2024-08-01
32,16,4.8,2024-08-02
32,17,4.6,2024-08-03
33,18,4.4,2024-08-04
33,19,4.7,2024-08-05
34,20,4.3,2024-08-06
34,1,4,2024-08-07
35,2,4.5,2024-08-08
35,3,4.2,2024-08-09
36,4,4.6,2024-08-10
36,5,4.3,2024-08-11
37,6,4.1,2024-08-12
37,7,4.4,2024-08-13
38,8,4.7,2024-08-14
38,9,4.2,2024-08-15
39,10,4.5,2024-08-16
39,11,4.3,2024-08-17
40,12,4.6,2024-08-18
40,13,4.4,2024-08-19
41,14,4.1,2024-08-20
41,15,4.5,2024-08-21
42,16,4.8,2024-08-22
42,17,4.6,2024-08-23
43,18,4.3,2024-08-24
43,19,4.7,2024-08-25
44,20,4.4,2024-08-26
44,1,4,2024-08-27
45,2,4.2,2024-08-28
45,3,4.5,2024-08-29
46,4,4.6,2024-08-30
46,5,4.3,2024-08-31
47,6,4.1,2024-09-01
47,7,4.4,2024-09-02
48,8,4.7,2024-09-03
48,9,4.3,2024-09-04
49,10,4.5,2024-09-05
49,11,4.2,2024-09-06
50,12,4.6,2024-09-07
50,13,4.3,2024-09-08
51,14,4.5,2024-09-09
51,15,4.2,2024-09-10
52,16,4.7,2024-09-11
52,17,4.4,2024-09-12
53,18,4.3,2024-09-13
53,19,4.6,2024-09-14
54,20,4.5,2024-09-15
54,1,4.1,2024-09-16
55,2,4.4,2024-09-17
55,3,4.2,2024-09-18
56,4,4.6,2024-09-19
56,5,4.3,2024-09-20
57,6,4.1,2024-09-21
57,7,4.5,2024-09-22
58,8,4.4,2024-09-23
58,9,4.2,2024-09-24
59,10,4.7,2024-09-25
59,11,4.3,2024-09-26
60,12,4.6,2024-09-27
60,13,4.4,2024-09-28
61,14,4.2,2024-09-29
61,15,4.5,2024-09-30
62,16,4.7,2024-10-01
62,17,4.3,2024-10-02
63,18,4.6,2024-10-03
63,19,4.4,2024-10-04
64,20,4.2,2024-10-05
64,1,4.5,2024-10-06
65,2,4.1,2024-10-07
65,3,4.4,2024-10-08
66,4,4.3,2024-10-09
66,5,4.6,2024-10-10
67,6,4.2,2024-10-11
67,7,4.5,2024-10-12
68,8,4.7,2024-10-13
68,9,4.3,2024-10-14
69,10,4.4,2024-10-15
69,11,4.6,2024-10-16
70,12,4.2,2024-10-17
70,13,4.5,2024-10-18
71,14,4.7,2024-10-19
71,15,4.3,2024-10-20
72,16,4.4,2024-10-21
72,17,4.6,2024-10-22
73,18,4.2,2024-10-23
73,19,4.5,2024-10-24
74,20,4.3,2024-10-25
74,1,4.6,2024-10-26
75,2,4.4,2024-10-27
76,4,4.5,2024-10-29
76,5,4.3,2024-10-30
77,6,4.2,2024-10-31
77,7,4.6,2024-11-01
78,8,4.4,2024-11-02
78,9,4.5,2024-11-03
79,10,4.3,2024-11-04
79,11,4.6,2024-11-05
80,12,4.2,2024-11-06
80,13,4.5,2024-11-07
81,14,4.3,2024-11-08
81,15,4.6,2024-11-09
82,16,4.4,2024-11-10
82,17,4.5,2024-11-11
83,18,4.2,2024-11-12
83,19,4.6,2024-11-13
84,20,4.3,2024-11-14
84,1,4.5,2024-11-15
85,2,4.2,2024-11-16
85,3,4.4,2024-11-17
86,4,4.3,2024-11-18
86,5,4.5,2024-11-19
87,6,4.4,2024-11-20
87,7,4.2,2024-11-21
88,8,4.5,2024-11-22
88,9,4.3,2024-11-23
89,10,4.6,2024-11-24
89,11,4.2,2024-11-25
90,12,4.5,2024-11-26
90,13,4.3,2024-11-27
91,14,4.6,2024-11-28
91,15,4.4,2024-11-29
92,16,4.5,2024-11-30
92,17,4.2,2024-12-01
93,18,4.6,2024-12-02
93,19,4.3,2024-12-03
94,20,4.5,2024-12-04
94,1,4.2,2024-12-05
95,2,4.6,2024-12-06
95,3,4.3,2024-12-07
96,4,4.5,2024-12-08
96,5,4.2,2024-12-09
97,6,4.4,2024-12-10
97,7,4.6,2024-12-11
98,8,4.3,2024-12-12
98,9,4.5,2024-12-13
99,10,4.2,2024-12-14
99,11,4.4,2024-12-15
100,12,4.5,2024-12-16
100,13,4.3,2024-12-17
126,4,4.5,2025-02-06
126,5,4.3,2025-02-07
127,6,4.4,2025-02-08
127,7,4.6,2025-02-09
128,8,4.2,2025-02-10
128,9,4.5,2025-02-11
129,10,4.3,2025-02-12
129,11,4.6,2025-02-13
130,12,4.5,2025-02-14
130,13,4.2,2025-02-15
131,14,4.4,2025-02-16
131,15,4.6,2025-02-17
132,16,4.3,2025-02-18
132,17,4.5,2025-02-19
133,18,4.2,2025-02-20
133,19,4.4,2025-02-21
134,20,4.5,2025-02-22
134,1,4.3,2025-02-23
135,2,4.6,2025-02-24
135,3,4.4,2025-02-25
136,4,4.5,2025-02-26
136,5,4.2,2025-02-27
137,6,4.4,2025-02-28
137,7,4.5,2025-03-01
138,8,4.3,2025-03-02
138,9,4.6,2025-03-03
139,10,4.4,2025-03-04
139,11,4.5,2025-03-05
140,12,4.2,2025-03-06
140,13,4.6,2025-03-07
141,14,4.3,2025-03-08
141,15,4.5,2025-03-09
142,16,4.4,2025-03-10
142,17,4.2,2025-03-11
143,18,4.6,2025-03-12
143,19,4.3,2025-03-13
144,20,4.5,2025-03-14
144,1,4.4,2025-03-15
145,2,4.2,2025-03-16
145,3,4.5,2025-03-17
146,4,4.6,2025-03-18
146,5,4.3,2025-03-19
147,6,4.5,2025-03-20
147,7,4.2,2025-03-21
148,8,4.4,2025-03-22
148,9,4.6,2025-03-23
149,10,4.3,2025-03-24
149,11,4.5,2025-03-25
150,12,4.4,2025-03-26
150,13,4.2,2025-03-27
151,14,4.5,2025-03-28
151,15,4.3,2025-03-29
152,16,4.4,2025-03-30
152,17,4.6,2025-03-31
153,18,4.2,2025-04-01
153,19,4.5,2025-04-02
154,20,4.3,2025-04-03
154,1,4.6,2025-04-04
155,2,4.4,2025-04-05
155,3,4.2,2025-04-06
156,4,4.5,2025-04-07
156,5,4.3,2025-04-08
157,6,4.6,2025-04-09
157,7,4.4,2025-04-10
158,8,4.2,2025-04-11
158,9,4.5,2025-04-12
159,10,4.3,2025-04-13
159,11,4.6,2025-04-14
160,12,4.5,2025-04-15
160,13,4.2,2025-04-16
161,14,4.4,2025-04-17
161,15,4.6,2025-04-18
162,16,4.3,2025-04-19
162,17,4.5,2025-04-20
163,18,4.2,2025-04-21
163,19,4.4,2025-04-22
164,20,4.5,2025-04-23
164,1,4.3,2025-04-24
165,2,4.6,2025-04-25
165,3,4.4,2025-04-26
166,4,4.5,2025-04-27
166,5,4.2,2025-04-28
167,6,4.4,2025-04-29
167,7,4.5,2025-04-30
168,8,4.3,2025-05-01
168,9,4.6,2025-05-02
169,10,4.4,2025-05-03
169,11,4.5,2025-05-04
170,12,4.2,2025-05-05
170,13,4.6,2025-05-06
171,14,4.3,2025-05-07
171,15,4.5,2025-05-08
172,16,4.4,2025-05-09
172,17,4.2,2025-05-10
173,18,4.6,2025-05-11
173,19,4.3,2025-05-12
174,20,4.5,2025-05-13
174,1,4.2,2025-05-14
175,2,4.4,2025-05-15
175,3,4.6,2025-05-16
176,4,4.5,2025-05-17
176,5,4.3,2025-05-18
177,6,4.4,2025-05-19
177,7,4.6,2025-05-20
178,8,4.2,2025-05-21
178,9,4.5,2025-05-22
179,10,4.3,2025-05-23
179,11,4.6,2025-05-24
180,12,4.5,2025-05-25
180,13,4.2,2025-05-26
181,14,4.4,2025-05-27
181,15,4.6,2025-05-28
182,16,4.3,2025-05-29
182,17,4.5,2025-05-30
183,18,4.2,2025-05-31
183,19,4.4,2025-06-01
184,20,4.5,2025-06-02
184,1,4.3,2025-06-03
185,2,4.6,2025-06-04
185,3,4.4,2025-06-05
186,4,4.5,2025-06-06
186,5,4.2,2025-06-07
187,6,4.4,2025-06-08
187,7,4.5,2025-06-09
188,8,4.3,2025-06-10
188,9,4.6,2025-06-11
189,10,4.4,2025-06-12
189,11,4.5,2025-06-13
190,12,4.2,2025-06-14
190,13,4.6,2025-06-15
191,14,4.3,2025-06-16
191,15,4.5,2025-06-17
192,16,4.4,2025-06-18
192,17,4.2,2025-06-19
193,18,4.6,2025-06-20
193,19,4.3,2025-06-21
194,20,4.5,2025-06-22
194,1,4.2,2025-06-23
195,2,4.4,2025-06-24
195,3,4.6,2025-06-25
196,4,4.3,2025-06-26
196,5,4.5,2025-06-27
197,6,4.4,2025-06-28
197,7,4.2,2025-06-29
198,8,4.6,2025-06-30
198,9,4.3,2025-07-01
199,10,4.5,2025-07-02
199,11,4.4,2025-07-03
200,12,4.2,2025-07-04
200,13,4.6,2025-07-05